北京联通IPTV,#genre#
北京生活,http://xxwx.yoesun.com/xxw/北京网.php?id=bjsh
淘电影,http://cards.imwork.net:15893/rtp/239.3.1.250:8001
淘剧场,http://cards.imwork.net:15893/rtp/239.3.1.95:8001
淘娱乐,http://cards.imwork.net:15893/rtp/239.3.1.100:8001

港台,#genre#
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
凤凰香港,http://cdn6.163189.xyz/163189/fhhk
无线新闻,https://cdn6.101.qzz.io/163189/wxxw
翡翠台,https://cdn6.101.qzz.io/163189/fct
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰中文,http://j.s.bkpcp.top/js/fhzw#https://cdn.946985.qzz.io/live/fhzw/stream.m3u8#http://hls-pull-wicketpw.speedws.com/live/1a78c7b61884cddac11693a539764148.flv
凤凰资讯,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8#http://hls-pull-wicketpw.speedws.com/live/93a5b065c1e8e910cdcdc6d85c38b0f8.flv
凤凰香港,http://hls-pull-wicketpw.speedws.com/live/0438bc18fa83bd6c4a7ed43c8914043d.flv
凤凰资讯,http://m.061899.xyz/mg/fhzx
凤凰资讯,http://t.061899.xyz/tl/js/js.php?id=fhwszxt
凤凰资讯,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd
凤凰香港,http://139.196.228.200:5678/公众号搞机大师/fhx.php?id=hk
凤凰中文,http://dxa.yiandrive.com:39191/phenix/fhzw
凤凰资讯,http://dxa.yiandrive.com:39191/phenix/fhzx
凤凰香港,http://dxa.yiandrive.com:39191/phenix/fhh
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
 翡翠台 4K,https://cdn6.163189.xyz/163189/fct4k
 翡翠台「字幕」,https://mytv.cdn.loc.cc/o12.php?id=fct
 明珠台「字幕」,https://mytv.cdn.loc.cc/o12.php?id=mzt
TVB翡翠,http://r.jdshipin.com/qClQf
TVB Plus,http://r.jdshipin.com/ndGgS
無綫新聞台,http://r.jdshipin.com/CkuBd
Now新聞台,https://cdn.163189.xyz/163189/now
TVB Plus,http://r.jdshipin.com/ndGgS
无线翡翠 - CH02,http://mytv.cdn.loc.cc/o12.php?id=fct
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8#https://pull-hsbj.vzan.com/v/slowlive_821481626725612419.flv
欧洲卫视,http://oh.eztv.vip/live/eztv1.m3u8
CHC影迷电影,http://119.91.196.208:23000/migu/migu20251205.php?id=952383261
CHC动作电影,http://tonyk.56301232.xyz:3477/rtp/239.37.0.186:5540
CHC影迷电影,http://tonyk.56301232.xyz:3477/rtp/239.37.0.187:5540
CHC家庭影院,http://tonyk.56301232.xyz:3477/rtp/239.37.0.188:5540
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chc.m3u8?auth=testpub
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
莲花卫视,http://cdn6.163189.xyz/163189/amlh
中天新闻,http://222.128.55.152:9080/live/fc.m3u8
中天新闻,http://61.221.215.25:8800/hls/47/index.m3u8
星空国际,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
未来频道,http://l.cztvcloud.com:80/channels/lantian/SXyuhang3/720p.m3u8
澳门莲花,https://cdn1.skygo.mn/live/disk1/Lotus/HLSv3-FTA/Lotus.m3u8#http://122.53.222.9:9981/stream/channelid/801543536?profile=pass
澳门卫星,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳门澳视,http://php.jdshipin.com/PLTV/iptv.php?id=asam
台视,rtmp://f13h.mine.nu/sat/tv071
华视,rtmp://f13h.mine.nu/sat/tv111
民视,rtmp://f13h.mine.nu/sat/tv051
中视,rtmp://f13h.mine.nu/sat/tv091
公视,rtmp://f13h.mine.nu/sat/tv771
TVBS新聞,rtmp://f13h.mine.nu/sat/tv551
TVBS歡樂,rtmp://f13h.mine.nu/sat/tv421
東森財經新聞,rtmp://f13h.mine.nu/sat/tv571
中视,rtmp://f13h.mine.nu:1935/sat/tv091
华视,rtmp://f13h.mine.nu:1935/sat/tv111
台视,rtmp://f13h.mine.nu:1935/sat/tv071
民视,rtmp://f13h.mine.nu:1935/sat/tv051
寰宇新闻,http://222.128.55.152:9080/live/hy.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
星光综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/zxcvbnm9852.flv
伊拉克-SharqiyaNews,http://ns8.indexforce.com:1935/alsharqiyalive/mystream/playlist.m3u8
YCTV,http://tvpull.dxhmt.cn:9081/tv/11481-1.m3u8
TVBS Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
翡翠台「字幕」,https://mytv.cdn.loc.cc/o12.php?id=fct
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
中天娛樂,http://61.221.215.25:8800/hls/47/index.m3u8
東森電影,https://hls.iill.top/api/dsdy/index.m3u8
東森洋片,https://hls.iill.top/api/dsyp/index.m3u8
龍祥時代,https://hls.iill.top/api/lxsd/index.m3u8
莲花卫视,http://cdn6.163189.xyz/163189/amlh
1905电影网,http://cctv.sohu.blog/1905.php?t=1&id=LIVEOYY31H24H48NE#https://cdn.jdshipin.com/1905.php#http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
重温经典,http://xxwx.yoesun.com/xxw/cwjd.php#https://cdn.jdshipin.com/cwjd.php#http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
龙华电影,http://iptv.4666888.xyz/iptv2A.php?id=45
天映经典,https://o11.163189.xyz/stream/live/ccm/
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
Astro AOD,https://o11.163189.xyz/stream/live/aod/#http://php.jdshipin.com/PLTV/iptv.php?id=aod
Astro AEC,https://o11.163189.xyz/stream/live/aec/
POPC电影,http://pull-vivek.speedws.com/live/aaapopc.flv
ANIMAX,http://pull-vivek.speedws.com/live/aaaAnimax.flv
AXN,http://pull-vivek.speedws.com/live/aaaAXN.flv
ROCK综艺娱乐,http://pull-vivek.speedws.com/live/aaarock1.flv
UPERFREE,http://pull-vivek.speedws.com/live/aaaSUPERFREE.flv
MYV戏曲,http://pull-vivek.speedws.com/live/aaaxqt.flv
MYV跑马,http://pull-vivek.speedws.com/live/aaapm18.flv
亚洲剧,http://pull-vivek.speedws.com/live/aaayzjt.flv
台视,http://211.72.174.95:8112/0.ts#http://74.91.26.218:82/live/ttv.m3u8
中视,http://211.72.174.95:8113/0.ts
华视,http://211.72.174.95:8114/0.ts
公视,http://211.72.174.95:8116/0.ts
民视,http://211.72.174.95:8115/0.ts
民视新闻,http://211.72.174.95:8117/0.ts
TVB1,https://6.cdn.loc.cc/163189.php?id=tvb1
J1,https://6.cdn.loc.cc/163189.php?id=j1
PLUS,https://o11.163189.xyz/stream/tvb/tvbp/#https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
翡翠,http://mytv.cdn.loc.cc/o12.php?id=fct#rtmp://nowast.net/live/yifatv-jade01#https://o11.163189.xyz/stream/tvb/fct/#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3&token=512df05ba47edb46400575c93e179adb7981226d414516400ed1d382cb126adc517715d4ccd3a2276bf3c7b72d52f58905225cf0b1cc461b7888443f#http://pull-vivek.speedws.com/live/aaajade.flv
翡翠剧集,https://6.cdn.loc.cc/163189.php?id=tvbd
hOY剧集,http://cdn.163189.xyz/163189/hoyjj
华丽1,https://o11.163189.xyz/stream/live/jade/
华丽2,https://o11.163189.xyz/stream/live/hlt/
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn#http://r.jdshipin.com/CkuBd
hoy76,http://hls.168.us.kg/u/76/master.m3u8
hoy77,http://hls.168.us.kg/u/77/master.m3u8#http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
hoy78,http://hls.168.us.kg/u/78/master.m3u8
明珠,http://mytv.cdn.loc.cc/o12.php?id=mzt#https://o11.163189.xyz/stream/tvb/mzt/#http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt#https://hls.168.us.kg/u/84/master.m3u8#http://pull-vivek.speedws.com/live/aaamingzhu.flv
星河,https://o11.163189.xyz/stream/live/tvbxh/#http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
娱乐新闻,http://pull-vivek.speedws.com/live/aaaylxw.flv#http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbylxw
CHU,http://cdn6.163189.xyz/163189/chu
CH5,http://cdn6.163189.xyz/163189/ch5
CH8,http://cdn6.163189.xyz/163189/ch8
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/#http://pull-vivek.speedws.com/live/aaamqxjd.flv
八度空间,http://cdn6.163189.xyz/163189/8tv
Now新闻,http://cdn.163189.xyz/163189/now
澳视澳门,http://cdn6.163189.xyz/163189/asam
澳视卫星,http://cdn6.163189.xyz/163189/as#http://php.jdshipin.com:8880/TVOD/iptv.php?id=as
澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,http://cdn6.163189.xyz/163189/amzy
RTHK31,http://cdn.163189.xyz/163189/rthk31#http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://cdn.163189.xyz/163189/rthk32#http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
ViuTV,https://cdn.163189.xyz/163189/viu#http://r.jdshipin.com/vSJvl
CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8#https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN记录片,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8#https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
Now新聞台,https://cdn.163189.xyz/163189/now
Red Bull TV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
Channel 5,http://cdn6.163189.xyz/163189/ch5
Channel 8,http://cdn6.163189.xyz/163189/ch8
Channel U,http://cdn6.163189.xyz/163189/chu
時尚台FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
